,SYMBOL
449,E2:C59.SI
450,E2:587.SI
451,E1:P82.SI
452,E1:F11.SI
453,E1:D2V.SI
454,E1:D5N.SI
457,E2:W12.SI
458,E2:M41.SI
459,E2:D2V.SI
460,E2:AD7.SI
461,E1:S3N.SI
462,E1:O2F.SI
463,E1:KJ5.SI
464,E2:F11.SI
465,Q7Q.SI
466,F12.SI
467,E1:AD8.SI
468,E2:J36.SI
470,E1:T18.SI
471,E1:W12.SI
472,E1:H78.SI
473,E1:B32.SI
474,RS1.SI
475,L34.SI
476,E2:MQ4.SI
477,C37.SI
478,B07.SI
479,E1:U9E.SI
480,L28.SI
481,E1:H13.SI
482,E2:O15.SI
483,E2:J37.SI
484,E2:H13.SI
485,E1:S07.SI
486,DK2.SI
487,B64.SI
488,UB5.SI
489,M04.SI
491,E2:N21.SI
492,E2:NT1.SI
493,E2:K22.SI
494,E2:B2X.SI
495,E1:N6L.SI
496,E1:N6M.SI
497,E1:T43.SI
498,E1:U01.SI
499,E2:B16.SI
500,E2:DC9.SI
506,E1:5CP.SI
507,E1:T15.SI
508,E2:5DA.SI
509,E2:C37.SI
516,E1:E9L.SI
517,E1:K75.SI
522,B0Z.SI
523,K22.SI
524,P05.SI
525,S91.SI
526,E1:L09.SI
532,E2:Y35.SI
533,K75.SI
534,S38.SI
535,T43.SI
536,E2:GJ8.SI
537,E2:FQ8.SI
538,E2:AFC.SI
539,E2:5MC.SI
540,E1:OJ4.SI
541,E1:L46.SI
542,E1:GJ8.SI
543,E1:E9A.SI
544,E1:DC9.SI
545,E2:K14.SI
546,E2:F18.SI
547,E2:F6D.SI
548,E2:B3C.SI
549,E1:P11.SI
550,E1:P74.SI
551,E1:M41.SI
552,E1:N4E.SI
553,E1:F12.SI
554,E1:D79.SI
555,D2V.SI
556,E1:B22.SI
557,E1:5MC.SI
558,E2:L05.SI
559,NC9.SI
560,K14.SI
561,E2:P74.SI
562,E1:B61.SI
563,E2:D38.SI
564,E2:C56.SI
565,E1:B73.SI
566,E1:B10.SI
567,E1:5CH.SI
568,P74.SI
569,L09.SI
570,F9D.SI
571,E2:MU7.SI
572,E2:L46.SI
573,E2:DK2.SI
575,E1:C56.SI
577,E1:B20.SI
578,E1:B64.SI
580,B1N.SI
582,N6L.SI
583,E2:O2F.SI
584,E2:K29.SI
586,E1:K22.SI
587,E1:BR9.SI
589,B2:NU6Z.SI
590,U2T.SI
591,E1:TY5R.SI
592,E1:AFC.SI
593,E2:L03.SI
594,E1:Q7Q.SI
595,E1:FP1.SI
598,E2:K75.SI
599,E2:S38.SI
600,E2:T15.SI
601,KU3.SI
602,E2:KU3.SI
603,B03.SI
604,E1:S38.SI
605,E1:B2X.SI
607,587.SI
608,E2:Q7Q.SI
609,E2:S21.SI
610,F18.SI
611,M22.SI
612,OJ4.SI
613,TN5.SI
614,E1:AD7.SI
615,E1:A35.SI
616,E1:A78.SI
618,B32.SI
619,Y35.SI
620,S07.SI
621,E2:T43.SI
622,E1:F9D.SI
623,E2:L09.SI
624,E2:D5N.SI
625,E2:B26.SI
626,E1:C0Z.SI
627,C71.SI
629,U01.SI
630,O2R.SI
632,E2:L28.SI
634,E2:F9D.SI
635,E2:B64.SI
636,E1:M04.SI
637,L22.SI
639,E1:B16.SI
640,E2:B61.SI
641,E2:U9F.SI
642,Q0F.SI
643,L05.SI
644,E2:M04.SI
646,E1:D01.SI
647,O2F.SI
649,E1:C59.SI
650,TT4.SI
651,T42.SI
652,MQ4.SI
653,E2:S91.SI
654,E2:FP1.SI
660,E1:B58.SI
661,NT1.SI
662,B9R.SI
663,5HV.SI
664,E1:TY4R.SI
665,P11.SI
670,E1:C37.SI
671,D5N.SI
672,A69.SI
673,U9E.SI
674,QL2.SI
675,E1:5GD.SI
676,B2F.SI
677,B08.SI
678,L46.SI
679,E2:KJ5.SI
680,E2:D01.SI
681,E2:B22.SI
682,E2:5SR.SI
683,E2:568.SI
684,E1:F10.SI
686,B2:P9GZ.SI
687,TY4R.SI
688,E2:N4E.SI
689,E1:C71.SI
690,E2:B20.SI
692,E2:5GD.SI
693,E1:L28.SI
697,E2:B32.SI
698,E2:B58.SI
699,E2:D79.SI
700,E2:L22.SI
701,K3SD.SI
702,C86.SI
703,B2:R9JZ.SI
707,E2:C0Z.SI
708,E2:B28.SI
709,E2:E9A.SI
710,E2:L34.SI
711,TV1.SI
712,B2:L07Z.SI
713,B0I.SI
716,E1:KU3.SI
717,E1:S91.SI
718,E2:AD8.SI
719,E2:F12.SI
720,E2:F10.SI
725,E2:P82.SI
726,E1:5DW.SI
728,E2:B73.SI
729,E2:C71.SI
734,5SR.SI
735,B1:R9JZ.SI
759,C59.SI
760,B2:MA6Z.SI
761,5ER.SI
762,P36.SI
768,E2:OJ4.SI
771,TY5R.SI
780,E1:G08.SI
784,E1:G50.SI
786,PH0.SI
787,D6U.SI
788,C38U.SI
789,C22.SI
791,I4U.SI
793,C33.SI
794,C09.SI
795,CC3.SI
798,C29.SI
799,C13.SI
800,5SY.SI
801,I12.SI
802,C52.SI
803,C2PU.SI
804,C05.SI
806,5KT.SI
807,Y34.SI
808,T14.SI
809,RW0U.SI
810,P8A.SI
812,N2IU.SI
813,L19.SI
814,KJ9.SI
815,5TW.SI
816,5IF.SI
817,TQ5.SI
818,S6NU.SI
820,OU8.SI
821,N9LU.SI
822,L1D.SI
823,KT4.SI
824,K2N.SI
826,J85.SI
827,G54.SI
828,F83.SI
831,CH8.SI
832,C70.SI
833,C3T.SI
835,J91U.SI
836,I54.SI
838,F3V.SI
840,CL7.SI
841,C76.SI
842,C50.SI
846,5PO.SI
847,5OU.SI
849,586.SI
850,541.SI
853,W01.SI
854,K2LU.SI
855,5QT.SI
856,5OX.SI
857,5HT.SI
858,5EC.SI
859,573.SI
861,C10.SI
862,5TP.SI
863,K3OD.SI
864,GU5.SI
865,E2:J85.SI
866,E2:5TF.SI
867,E1:P8A.SI
868,E1:MQ4.SI
869,E1:JS8.SI
870,TU0.SI
871,C6U.SI
872,C2J.SI
873,S24.SI
874,NC2.SI
876,E1:P9D.SI
877,E1:O5RU.SI
878,E1:K2N.SI
879,E2:T14.SI
880,TS0U.SI
881,C60.SI
882,A54.SI
884,J18.SI
885,CZ4.SI
889,E2:ACW.SI
890,E2:C76.SI
891,E2:C10.SI
892,E2:5HT.SI
893,E1:HD8.SI
894,E1:C8R.SI
895,CW4.SI
897,U18.SI
898,K3ID.SI
899,E2:J69U.SI
900,E2:D2U.SI
901,E2:5OU.SI
902,E1:L19.SI
903,E1:C92.SI
904,E1:5OU.SI
905,E2:S6NU.SI
915,G86.SI
928,E1:C29.SI
930,K3DD.SI
931,N0Z.SI
932,NR7.SI
933,U1E.SI
934,5KK.SI
938,E1:5HJ.SI
943,544.SI
944,C04.SI
945,E2:5TI.SI
947,E2:O5RU.SI
948,E2:A0W.SI
949,E2:JA9.SI
950,E2:ND8U.SI
951,E2:P9D.SI
952,E2:RS1.SI
953,P58.SI
954,DU4.SI
955,E2:C8R.SI
957,E2:5IF.SI
958,E2:C86.SI
959,E2:J18.SI
960,E2:P8A.SI
961,E2:5EB.SI
962,KT8U.SI
963,5HJ.SI
964,E1:5AC.SI
965,E2:5QT.SI
966,E1:J85.SI
967,E1:5IF.SI
970,PA3.SI
971,C31.SI
972,5NV.SI
973,5MZ.SI
975,E1:T4E.SI
976,E1:DT2.SI
977,E1:5KK.SI
978,M62.SI
979,P15.SI
980,QS0.SI
981,Z02.SI
982,5ML.SI
983,5NG.SI
984,CZ3.SI
986,5TI.SI
987,U0CR.SI
988,ND8U.SI
989,532.SI
991,E2:B9R.SI
992,E2:C22.SI
993,E2:C92.SI
994,E2:5AC.SI
995,C03.SI
996,5EB.SI
997,561.SI
1000,E1:AU8U.SI
1001,E2:C06.SI
1002,E2:C05.SI
1003,E2:5KT.SI
1004,E2:570.SI
1005,E1:C86.SI
1006,E1:C70.SI
1007,E1:5TP.SI
1008,E1:5KT.SI
1010,L17.SI
1012,J69U.SI
1013,C41.SI
1014,TM0.SI
1015,E1:F83.SI
1016,E1:A7S.SI
1017,E1:5CJ.SI
1018,T4E.SI
1019,554.SI
1021,P9D.SI
1022,5PI.SI
1023,D50.SI
1024,E1:N0Z.SI
1025,E1:RE2.SI
1026,E2:5CJ.SI
1027,E2:BR9.SI
1028,E2:5OX.SI
1029,E2:AU8U.SI
1030,E2:C13.SI
1031,E2:L17.SI
1032,HD8.SI
1033,5DX.SI
1034,5GC.SI
